mode,date,tap,time,count
bus,20200228,off,06:30,9063
bus,20200228,off,06:45,11223
bus,20200228,off,07:00,12034
bus,20200228,off,07:15,16485
bus,20200228,off,07:30,21789
bus,20200228,off,07:45,29234
bus,20200228,off,08:00,34003
bus,20200228,off,08:15,37041
bus,20200228,off,08:30,36457
bus,20200228,off,08:45,31834
bus,20200228,off,09:00,22112
bus,20200228,off,09:15,18245
bus,20200228,off,09:30,15337
bus,20200228,off,09:45,13986
bus,20200228,off,10:00,11562
bus,20200228,off,10:15,11139
bus,20200228,off,10:30,11646
bus,20200228,off,10:45,11548
bus,20200228,off,11:00,10612
bus,20200228,off,11:15,10883
bus,20200228,off,11:30,11072
bus,20200228,off,11:45,11091
bus,20200228,off,12:00,10683
bus,20200228,off,12:15,11302
bus,20200228,off,12:30,10924
bus,20200228,off,12:45,11430
bus,20200228,off,13:00,11075
bus,20200228,off,13:15,12068
bus,20200228,off,13:30,11336
bus,20200228,off,13:45,12170
bus,20200228,off,14:00,11446
bus,20200228,off,14:15,13194
bus,20200228,off,14:30,13757
bus,20200228,off,14:45,15432
bus,20200228,off,15:00,17829
bus,20200228,off,15:15,23416
bus,20200228,off,15:30,25701
bus,20200228,off,15:45,26081
bus,20200228,off,16:00,23325
bus,20200228,off,16:15,21578
bus,20200228,off,16:30,20424
bus,20200228,off,16:45,20192
bus,20200228,off,17:00,21011
bus,20200228,off,17:15,22097
bus,20200228,off,17:30,23495
bus,20200228,off,17:45,22837
bus,20200228,off,18:00,22470
bus,20200228,off,18:15,21301
bus,20200228,off,18:30,18885
bus,20200228,off,18:45,15564
bus,20200228,off,19:00,13289
bus,20200228,off,19:15,10844
bus,20200228,off,19:30,9222
bus,20200228,off,19:45,7842
bus,20200228,off,20:00,6771
bus,20200228,off,20:15,6153
bus,20200228,off,20:30,5783
bus,20200228,off,20:45,5166
bus,20200228,off,21:00,4687
bus,20200228,off,21:15,4548
bus,20200228,off,21:30,4755
bus,20200228,off,21:45,4352
bus,20200228,off,22:00,4150
bus,20200228,off,22:15,4107
bus,20200228,off,22:30,3559
bus,20200228,off,22:45,3339
bus,20200228,off,23:00,3123
bus,20200228,off,23:15,2833
bus,20200228,off,23:30,2472
bus,20200228,off,23:45,2040
bus,20200228,on,00:00,682
bus,20200228,on,00:15,672
bus,20200228,on,00:30,540
bus,20200228,on,00:45,452
bus,20200228,on,01:00,511
bus,20200228,on,01:15,377
bus,20200228,on,01:30,486
bus,20200228,on,01:45,250
bus,20200228,on,02:00,436
bus,20200228,on,02:15,233
bus,20200228,on,02:30,358
bus,20200228,on,02:45,227
bus,20200228,on,03:00,328
bus,20200228,on,03:15,198
bus,20200228,on,03:30,366
bus,20200228,on,03:45,245
bus,20200228,on,04:00,304
bus,20200228,on,04:15,279
bus,20200228,on,04:30,576
bus,20200228,on,04:45,976
bus,20200228,on,05:00,1656
bus,20200228,on,05:15,2782
bus,20200228,on,05:30,3887
bus,20200228,on,05:45,5406
bus,20200228,on,06:00,7515
bus,20200228,on,06:15,9438
bus,20200228,on,06:30,11320
bus,20200228,on,06:45,13772
bus,20200228,on,07:00,20189
bus,20200228,on,07:15,27000
bus,20200228,on,07:30,34519
bus,20200228,on,07:45,40413
bus,20200228,on,08:00,40250
bus,20200228,on,08:15,36997
bus,20200228,on,08:30,29956
bus,20200228,on,08:45,21858
bus,20200228,on,09:00,17900
bus,20200228,on,09:15,15607
bus,20200228,on,09:30,12649
bus,20200228,on,09:45,12207
bus,20200228,on,10:00,11769
bus,20200228,on,10:15,11835
bus,20200228,on,10:30,11863
bus,20200228,on,10:45,10837
bus,20200228,on,11:00,11348
bus,20200228,on,11:15,11440
bus,20200228,on,11:30,11366
bus,20200228,on,11:45,11068
bus,20200228,on,12:00,11569
bus,20200228,on,12:15,11683
bus,20200228,on,12:30,11640
bus,20200228,on,12:45,11469
bus,20200228,on,13:00,12371
bus,20200228,on,13:15,12271
bus,20200228,on,13:30,12279
bus,20200228,on,13:45,12328
bus,20200228,on,14:00,14052
bus,20200228,on,14:15,14602
bus,20200228,on,14:30,17073
bus,20200228,on,14:45,19079
bus,20200228,on,15:00,31228
bus,20200228,on,15:15,33833
bus,20200228,on,15:30,31270
bus,20200228,on,15:45,24473
bus,20200228,on,16:00,23192
bus,20200228,on,16:15,21586
bus,20200228,on,16:30,21395
bus,20200228,on,16:45,22074
bus,20200228,on,17:00,24375
bus,20200228,on,17:15,24290
bus,20200228,on,17:30,23353
bus,20200228,on,17:45,22251
bus,20200228,on,18:00,20448
bus,20200228,on,18:15,17776
bus,20200228,on,18:30,15047
bus,20200228,on,18:45,12375
bus,20200228,on,19:00,10873
bus,20200228,on,19:15,9447
bus,20200228,on,19:30,7895
bus,20200228,on,19:45,6724
bus,20200228,on,20:00,6576
bus,20200228,on,20:15,5808
bus,20200228,on,20:30,5325
bus,20200228,on,20:45,4823
bus,20200228,on,21:00,4982
bus,20200228,on,21:15,4839
bus,20200228,on,21:30,4305
bus,20200228,on,21:45,4526
bus,20200228,on,22:00,3979
bus,20200228,on,22:15,3823
bus,20200228,on,22:30,3455
bus,20200228,on,22:45,3226
bus,20200228,on,23:00,2896
bus,20200228,on,23:15,2586
bus,20200228,on,23:30,2018
bus,20200228,on,23:45,1731
bus,20200229,off,00:00,1706
bus,20200229,off,00:15,1373
bus,20200229,off,00:30,1080
bus,20200229,off,00:45,833
bus,20200229,off,01:00,744
bus,20200229,off,01:15,643
bus,20200229,off,01:30,550
bus,20200229,off,01:45,638
bus,20200229,off,02:00,547
bus,20200229,off,02:15,685
bus,20200229,off,02:30,509
bus,20200229,off,02:45,622
bus,20200229,off,03:00,500
bus,20200229,off,03:15,584
bus,20200229,off,03:30,421
bus,20200229,off,03:45,386
bus,20200229,off,04:00,360
bus,20200229,off,04:15,384
bus,20200229,off,04:30,307
bus,20200229,off,04:45,357
bus,20200229,off,05:00,257
bus,20200229,off,05:15,400
bus,20200229,off,05:30,633
bus,20200229,off,05:45,894
bus,20200229,off,06:00,1120
bus,20200229,off,06:15,1532
bus,20200229,off,06:30,2112
bus,20200229,off,06:45,2595
bus,20200229,off,07:00,2381
bus,20200229,off,07:15,2738
bus,20200229,off,07:30,3684
bus,20200229,off,07:45,4722
bus,20200229,off,08:00,4528
bus,20200229,off,08:15,5767
