mode,date,tap,time,count
bus,20200324,off,02:45,55
bus,20200324,off,03:00,61
bus,20200324,off,03:15,73
bus,20200324,off,03:30,52
bus,20200324,off,03:45,85
bus,20200324,off,04:00,108
bus,20200324,off,04:15,149
bus,20200324,off,04:30,172
bus,20200324,off,04:45,386
bus,20200324,off,05:00,708
bus,20200324,off,05:15,1243
bus,20200324,off,05:30,1676
bus,20200324,off,05:45,2700
bus,20200324,off,06:00,3115
bus,20200324,off,06:15,4202
bus,20200324,off,06:30,5362
bus,20200324,off,06:45,6206
bus,20200324,off,07:00,5697
bus,20200324,off,07:15,6702
bus,20200324,off,07:30,7585
bus,20200324,off,07:45,9001
bus,20200324,off,08:00,8887
bus,20200324,off,08:15,9339
bus,20200324,off,08:30,8799
bus,20200324,off,08:45,7796
bus,20200324,off,09:00,6279
bus,20200324,off,09:15,5574
bus,20200324,off,09:30,5177
bus,20200324,off,09:45,4796
bus,20200324,off,10:00,4086
bus,20200324,off,10:15,4371
bus,20200324,off,10:30,4371
bus,20200324,off,10:45,4419
bus,20200324,off,11:00,4256
bus,20200324,off,11:15,4316
bus,20200324,off,11:30,4481
bus,20200324,off,11:45,4185
bus,20200324,off,12:00,4132
bus,20200324,off,12:15,4321
bus,20200324,off,12:30,4402
bus,20200324,off,12:45,4583
bus,20200324,off,13:00,4505
bus,20200324,off,13:15,4722
bus,20200324,off,13:30,4797
bus,20200324,off,13:45,4554
bus,20200324,off,14:00,4649
bus,20200324,off,14:15,5015
bus,20200324,off,14:30,5170
bus,20200324,off,14:45,5759
bus,20200324,off,15:00,6067
bus,20200324,off,15:15,6873
bus,20200324,off,15:30,7394
bus,20200324,off,15:45,7056
bus,20200324,off,16:00,7056
bus,20200324,off,16:15,7072
bus,20200324,off,16:30,6949
bus,20200324,off,16:45,6854
bus,20200324,off,17:00,6530
bus,20200324,off,17:15,6993
bus,20200324,off,17:30,6998
bus,20200324,off,17:45,6846
bus,20200324,off,18:00,6564
bus,20200324,off,18:15,6223
bus,20200324,off,18:30,4963
bus,20200324,off,18:45,4066
bus,20200324,off,19:00,3307
bus,20200324,off,19:15,2703
bus,20200324,off,19:30,2424
bus,20200324,off,19:45,1979
bus,20200324,off,20:00,1650
bus,20200324,off,20:15,1480
bus,20200324,off,20:30,1333
bus,20200324,off,20:45,1122
bus,20200324,off,21:00,1008
bus,20200324,off,21:15,1101
bus,20200324,off,21:30,925
bus,20200324,off,21:45,836
bus,20200324,off,22:00,846
bus,20200324,off,22:15,748
bus,20200324,off,22:30,581
bus,20200324,off,22:45,523
bus,20200324,off,23:00,401
bus,20200324,off,23:15,340
bus,20200324,off,23:30,300
bus,20200324,off,23:45,215
bus,20200324,on,00:00,125
bus,20200324,on,00:15,77
bus,20200324,on,00:30,98
bus,20200324,on,00:45,81
bus,20200324,on,01:00,103
bus,20200324,on,01:15,81
bus,20200324,on,01:30,46
bus,20200324,on,01:45,46
bus,20200324,on,02:00,90
bus,20200324,on,02:15,49
bus,20200324,on,02:30,72
bus,20200324,on,02:45,74
bus,20200324,on,03:00,81
bus,20200324,on,03:15,54
bus,20200324,on,03:30,94
bus,20200324,on,03:45,125
bus,20200324,on,04:00,145
bus,20200324,on,04:15,160
bus,20200324,on,04:30,346
bus,20200324,on,04:45,658
bus,20200324,on,05:00,1098
bus,20200324,on,05:15,1903
bus,20200324,on,05:30,2629
bus,20200324,on,05:45,3412
bus,20200324,on,06:00,4481
bus,20200324,on,06:15,5361
bus,20200324,on,06:30,5964
bus,20200324,on,06:45,6133
bus,20200324,on,07:00,7352
bus,20200324,on,07:15,8301
bus,20200324,on,07:30,9464
bus,20200324,on,07:45,9800
bus,20200324,on,08:00,9585
bus,20200324,on,08:15,8968
bus,20200324,on,08:30,7911
bus,20200324,on,08:45,6286
bus,20200324,on,09:00,5717
bus,20200324,on,09:15,5198
bus,20200324,on,09:30,4940
bus,20200324,on,09:45,4403
bus,20200324,on,10:00,4527
bus,20200324,on,10:15,4584
bus,20200324,on,10:30,4633
bus,20200324,on,10:45,4547
bus,20200324,on,11:00,4509
bus,20200324,on,11:15,4574
bus,20200324,on,11:30,4559
bus,20200324,on,11:45,4224
bus,20200324,on,12:00,4614
bus,20200324,on,12:15,4683
bus,20200324,on,12:30,4839
bus,20200324,on,12:45,4816
bus,20200324,on,13:00,4945
bus,20200324,on,13:15,4979
bus,20200324,on,13:30,4865
bus,20200324,on,13:45,4785
bus,20200324,on,14:00,5208
bus,20200324,on,14:15,5455
bus,20200324,on,14:30,6196
bus,20200324,on,14:45,6309
bus,20200324,on,15:00,8061
bus,20200324,on,15:15,8361
bus,20200324,on,15:30,8103
bus,20200324,on,15:45,6876
bus,20200324,on,16:00,7620
bus,20200324,on,16:15,7333
bus,20200324,on,16:30,6952
bus,20200324,on,16:45,6667
bus,20200324,on,17:00,7547
bus,20200324,on,17:15,7536
bus,20200324,on,17:30,6794
bus,20200324,on,17:45,6422
bus,20200324,on,18:00,6170
bus,20200324,on,18:15,5009
bus,20200324,on,18:30,4018
bus,20200324,on,18:45,3186
bus,20200324,on,19:00,2823
bus,20200324,on,19:15,2459
bus,20200324,on,19:30,2059
bus,20200324,on,19:45,1646
bus,20200324,on,20:00,1596
bus,20200324,on,20:15,1425
bus,20200324,on,20:30,1139
bus,20200324,on,20:45,1048
bus,20200324,on,21:00,1179
bus,20200324,on,21:15,1012
bus,20200324,on,21:30,841
bus,20200324,on,21:45,770
bus,20200324,on,22:00,868
bus,20200324,on,22:15,656
bus,20200324,on,22:30,525
bus,20200324,on,22:45,417
bus,20200324,on,23:00,390
bus,20200324,on,23:15,303
bus,20200324,on,23:30,223
bus,20200324,on,23:45,192
bus,20200325,off,00:00,129
bus,20200325,off,00:15,117
bus,20200325,off,00:30,126
bus,20200325,off,00:45,89
bus,20200325,off,01:00,71
bus,20200325,off,01:15,113
bus,20200325,off,01:30,125
bus,20200325,off,01:45,70
bus,20200325,off,02:00,47
bus,20200325,off,02:15,115
bus,20200325,off,02:30,102
bus,20200325,off,02:45,93
bus,20200325,off,03:00,71
bus,20200325,off,03:15,114
bus,20200325,off,03:30,97
bus,20200325,off,03:45,118
bus,20200325,off,04:00,90
bus,20200325,off,04:15,147
bus,20200325,off,04:30,204
bus,20200325,off,04:45,400
bus,20200325,off,05:00,671
bus,20200325,off,05:15,1228
bus,20200325,off,05:30,1680
bus,20200325,off,05:45,2557
bus,20200325,off,06:00,2919
bus,20200325,off,06:15,4142
bus,20200325,off,06:30,4881
bus,20200325,off,06:45,5779
bus,20200325,off,07:00,4888
bus,20200325,off,07:15,5549
bus,20200325,off,07:30,6715
bus,20200325,off,07:45,7294
bus,20200325,off,08:00,7345
bus,20200325,off,08:15,7265
bus,20200325,off,08:30,7409
bus,20200325,off,08:45,6654
bus,20200325,off,09:00,5195
bus,20200325,off,09:15,4882
bus,20200325,off,09:30,4749
bus,20200325,off,09:45,4497
bus,20200325,off,10:00,3947
bus,20200325,off,10:15,4043
bus,20200325,off,10:30,4203
bus,20200325,off,10:45,4316
bus,20200325,off,11:00,3977
bus,20200325,off,11:15,4029
bus,20200325,off,11:30,4065
bus,20200325,off,11:45,3909
bus,20200325,off,12:00,3818
bus,20200325,off,12:15,4007
bus,20200325,off,12:30,3864
bus,20200325,off,12:45,3890
bus,20200325,off,13:00,3876
bus,20200325,off,13:15,4111
bus,20200325,off,13:30,4348
bus,20200325,off,13:45,4257
bus,20200325,off,14:00,4119
bus,20200325,off,14:15,4649
bus,20200325,off,14:30,4691
bus,20200325,off,14:45,5098
