mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
bus,20200323,Bankstown Girls High School,2311,Bankstown Station_South,2307,53
bus,20200323,Bankstown_Lidcombe Hospital,2313,,,54
bus,20200323,Bankstown_Lidcombe Hospital,2313,Bankstown Square,2305,47
bus,20200323,Bankstown_Lidcombe Hospital,2313,Bankstown Station_South,2307,302
bus,20200323,Bankstown_Oxford Av and Koonya Av,2312,Bankstown Station_South,2307,143
bus,20200323,Bankstown Paceway,2341,Bankstown Station_South,2307,70
bus,20200323,Bankstown Private Hospital,2347,Strathfield Station_South,971,64
bus,20200323,Bankstown_Sir Joseph Banks St and Milton St,2302,Bankstown Square,2305,61
bus,20200323,Bankstown Square,2305,,,133
bus,20200323,Bankstown Square,2305,Bankstown Girls High School,2311,52
bus,20200323,Bankstown Square,2305,Bankstown_Home Central,2314,45
bus,20200323,Bankstown Square,2305,Bankstown Private Hospital,2347,41
bus,20200323,Bankstown Square,2305,Bankstown Square,2305,52
bus,20200323,Bankstown Square,2305,La Salle Catholic College,2301,61
bus,20200323,Bankstown Station_South,2307,,,235
bus,20200323,Bankstown Station_South,2307,Bankstown Airport,2337,39
bus,20200323,Bankstown Station_South,2307,Bankstown Girls High School,2311,136
bus,20200323,Bankstown Station_South,2307,Bankstown_Home Central,2314,194
bus,20200323,Bankstown Station_South,2307,Bankstown_Lidcombe Hospital,2313,171
bus,20200323,Bankstown Station_South,2307,Bankstown Private Hospital,2347,91
bus,20200323,Bankstown Station_South,2307,Bankstown Square,2305,67
bus,20200323,Bankstown Station_South,2307,Bankstown West Primary School,2303,38
bus,20200323,Bankstown Station_South,2307,Bass Hill Plaza,2321,46
bus,20200323,Bankstown Station_South,2307,Condell Park,2338,47
bus,20200323,Bankstown Station_South,2307,Condell Park_Jocarm Av and Dalton Av,2336,67
bus,20200323,Bankstown Station_South,2307,Condell Park_South St and Norman St,2334,50
bus,20200323,Bankstown Station_South,2307,Condell Primary School,2339,78
bus,20200323,Bankstown Station_South,2307,Fairfax Comm Newspapers,2335,72
bus,20200323,Bankstown Station_South,2307,Georges Hall,2325,43
bus,20200323,Bankstown Station_South,2307,Greenacre Civic Centre,2350,44
bus,20200323,Bankstown Station_South,2307,Greenway Shopping Village,2381,54
bus,20200323,Bankstown Station_South,2307,La Salle Catholic College,2301,118
bus,20200323,Bankstown Station_South,2307,Milperra Industrial Area_Eastern End,2343,79
bus,20200323,Bankstown Station_South,2307,Milperra Industrial Area_Western End,2342,55
bus,20200323,Bankstown Station_South,2307,Mount St Joseph High School,2367,54
bus,20200323,Bankstown Station_South,2307,Padstow Industrial Area_Northern End,2315,76
bus,20200323,Bankstown Station_South,2307,Padstow Station_North,2358,76
bus,20200323,Bankstown Station_South,2307,Punchbowl_James St and Lancaster Av,2544,35
bus,20200323,Bankstown Station_South,2307,Revesby Station_North,2383,60
bus,20200323,Bankstown Station_South,2307,Sir Joseph Banks High School,2380,67
bus,20200323,Bankstown Station_South,2307,Woolworths Greenacre,2346,39
bus,20200323,Bankstown Station_South,2307,Yagoona_Graf Park,2394,49
bus,20200323,Bankstown Station_South,2307,Yagoona_Saltash St and Glassop St,2398,35
bus,20200323,Bankstown West Primary School,2303,Bankstown RSL Club,2298,49
bus,20200323,Barden Ridge,2830,,,106
bus,20200323,Barden Ridge,2830,Barden Ridge,2830,76
bus,20200323,Barden Ridge,2830,Sutherland Station_West,2850,41
bus,20200323,Bardwell Park Station,2728,Earlwood,2524,36
bus,20200323,Basin Beach,2030,,,70
bus,20200323,Basin Beach,2030,Basin Beach,2030,43
bus,20200323,Basin Beach,2030,Brookvale Industrial Area,2144,95
bus,20200323,Basin Beach,2030,Dee Why Plaza,2107,166
bus,20200323,Basin Beach,2030,Sydney CBD_Wynyard Station_George St,57,262
bus,20200323,Basin Beach,2030,Turimetta Beach,2035,47
bus,20200323,Baulkham Hills,4508,Sydney CBD_Wynyard Station_George St,57,48
bus,20200323,Baulkham Hills_Cook St and Park Renown Rd,4506,King St and George St,83,73
bus,20200323,Baulkham Hills_Cook St and Park Renown Rd,4506,Sydney CBD_Wynyard Station_George St,57,118
bus,20200323,Baulkham Hills_Hill St and Kristine Ave,4502,King St and George St,83,39
bus,20200323,Baulkham Hills_Hill St and Kristine Ave,4502,Sydney CBD_Wynyard Station_George St,57,60
bus,20200323,Baulkham Hills_Norwest Bvd and Columbia Av,4515,Parramatta Station_South,1059,55
bus,20200323,Baulkham Hills_Seven Hills Rd and Cropley Dr,4509,Sydney CBD_Wynyard Station_George St,57,36
bus,20200323,Bayview Park Ferry Wharf,704,Burwood Station_North,895,41
bus,20200323,Beecroft_Murray Farm Rd and Carawatha St,1100,Epping Station_West,1407,48
bus,20200323,Belfield_Water St and Punchbowl Rd,2500,Strathfield Station_South,971,48
bus,20200323,Bellambi Beach,5612,Corrimal Station_West,5613,42
bus,20200323,Bellambi_Holy Spirit College,5611,,,38
bus,20200323,Bella Vista_Commercial Area,4516,King St and George St,83,72
bus,20200323,Bella Vista_Commercial Area,4516,Sydney CBD_Wynyard Station_George St,57,86
bus,20200323,Bella Vista Industrial Area,4521,Parramatta Station_South,1059,48
bus,20200323,Bellevue Hill_Drumalbyn Rd and Beresford Rd,540,Bondi Junction CBD,518,39
bus,20200323,Bellevue Park,545,Bondi Junction CBD,518,126
bus,20200323,Bellevue Park,545,Bondi Junction Station,517,147
bus,20200323,Belmore Sportsground,2505,Campsie_Anzac Square,2508,66
bus,20200323,Belrose,2130,,,99
bus,20200323,Belrose,2130,Sydney CBD_Wynyard Station_George St,57,59
bus,20200323,Belrose Village Shopping Centre,2131,,,42
bus,20200323,Belvedere Bridge Darlinghurst,180,Town Hall Station,104,45
bus,20200323,Beresford Road Primary,1236,Parramatta Station_South,1059,51
bus,20200323,Berowra Heights_Wideview Public School,1615,Berowra Station,1617,46
bus,20200323,Berowra Station,1617,Berowra Market Place,1616,75
bus,20200323,Berowra Station,1617,Berowra Station,1617,40
bus,20200323,Beverley Hills Girls High School,2623,,,50
bus,20200323,Beverley Park,2748,Kogarah Station_East,2736,96
bus,20200323,Beverly Hills Station_South,2622,Westfield_Hurstville,2606,78
bus,20200323,Bexley,2719,Westfield_Hurstville,2606,54
bus,20200323,Bexley_Glenfarne St and Shirley St,2721,Westfield_Hurstville,2606,48
bus,20200323,Bexley_Verdun St and Washington St,2724,,,60
bus,20200323,Bexley_Verdun St and Washington St,2724,Westfield_Hurstville,2606,52
bus,20200323,Bidwill High School,4000,Westfield_Mt Druitt Station_North,4037,159
bus,20200323,Big Bear Shopping Centre,1940,,,169
bus,20200323,Big Bear Shopping Centre,1940,Big Bear Shopping Centre,1940,80
bus,20200323,Big Bear Shopping Centre,1940,Cremorne Garden Plaza,1904,48
bus,20200323,Big Bear Shopping Centre,1940,Dee Why Plaza,2107,81
bus,20200323,Big Bear Shopping Centre,1940,Kurrabah Ferry Wharf,1944,51
bus,20200323,Big Bear Shopping Centre,1940,Manly Vale,2156,56
bus,20200323,Big Bear Shopping Centre,1940,Mosman_Heydon St and Ourimbah Rd,1925,111
bus,20200323,Big Bear Shopping Centre,1940,Mosman Pk,1927,82
bus,20200323,Big Bear Shopping Centre,1940,Mosman_Raglan St and Muston St,1931,97
bus,20200323,Big Bear Shopping Centre,1940,Mosman_Rosebery St and Ourimbah Rd,1924,93
bus,20200323,Big Bear Shopping Centre,1940,Neutral Bay,1942,38
bus,20200323,Big Bear Shopping Centre,1940,North Sydney_Denison St,1962,48
bus,20200323,Big Bear Shopping Centre,1940,North Sydney Girls High School_North,1914,47
bus,20200323,Big Bear Shopping Centre,1940,North Sydney Oval,1950,76
bus,20200323,Big Bear Shopping Centre,1940,St Leonards_Australian Medical Association (NSW),1845,57
bus,20200323,Big Bear Shopping Centre,1940,St Leonards_Park Rd and River Rd,1832,48
bus,20200323,Big Bear Shopping Centre,1940,Sydney CBD_Galeries Victoria,96,49
bus,20200323,Big Bear Shopping Centre,1940,Sydney CBD_Wynyard Station_George St,57,786
bus,20200323,Big Bear Shopping Centre,1940,Warringah Mall,2145,117
bus,20200323,Birkenhead Wharf and Shopping Centre,725,,,38
bus,20200323,Birkenhead Wharf and Shopping Centre,725,Drummoyne Boys High School,727,46
bus,20200323,Birkenhead Wharf and Shopping Centre,725,Market St and Kent St,92,132
bus,20200323,Birkenhead Wharf and Shopping Centre,725,Rozelle Public School,826,61
bus,20200323,Birkenhead Wharf and Shopping Centre,725,Sydney CBD_Galeries Victoria,96,241
bus,20200323,Blackett,4001,Westfield_Mt Druitt Station_North,4037,113
bus,20200323,Blackett Heights Reserve,4002,Westfield_Mt Druitt Station_North,4037,63
bus,20200323,Blacktown_Athlone St and Monash Rd,4121,Blacktown Station_North,4105,42
bus,20200323,Blacktown_Athlone St and Monash Rd,4121,Westpoint Centre_Blacktown Station_South,4107,59
bus,20200323,Blacktown_Bellevue Park,4123,Blacktown Station_North,4105,51
bus,20200323,Blacktown_Bellevue Park,4123,Westpoint Centre_Blacktown Station_South,4107,54
bus,20200323,Blacktown_Boyd St and Clifton St,4106,Blacktown Station_North,4105,87
bus,20200323,Blacktown District Hospital,4109,Blacktown Station_North,4105,55
bus,20200323,Blacktown District Hospital,4109,Westpoint Centre_Blacktown Station_South,4107,94
bus,20200323,Blacktown_Garden St and Turner St,4102,Blacktown Station_North,4105,96
bus,20200323,Blacktown_Harold St and Sackville St,4104,Blacktown Station_North,4105,315
bus,20200323,Blacktown_Highview St and Apex St,4127,Blacktown Station_North,4105,57
bus,20200323,Blacktown_Highview St and Apex St,4127,Westpoint Centre_Blacktown Station_South,4107,68
bus,20200323,Blacktown_Pendant Av and Lancelot St,4128,Westpoint Centre_Blacktown Station_South,4107,45
bus,20200323,Blacktown Showground,4118,Blacktown Station_North,4105,88
bus,20200323,Blacktown Station_North,4105,,,333
bus,20200323,Blacktown Station_North,4105,Acacia Gardens_Waite Reserve,3930,53
bus,20200323,Blacktown Station_North,4105,Arndell Park,4043,71
bus,20200323,Blacktown Station_North,4105,Blacktown_Athlone St and Monash Rd,4121,41
bus,20200323,Blacktown Station_North,4105,Blacktown_Boyd St and Clifton St,4106,49
bus,20200323,Blacktown Station_North,4105,Blacktown District Hospital,4109,35
bus,20200323,Blacktown Station_North,4105,Blacktown_Garden St and Turner St,4102,111
bus,20200323,Blacktown Station_North,4105,Blacktown_Harold St and Sackville St,4104,360
bus,20200323,Blacktown Station_North,4105,Blacktown_Highview St and Apex St,4127,62
bus,20200323,Blacktown Station_North,4105,Blacktown_Love St and Becharry Rd,4117,178
bus,20200323,Blacktown Station_North,4105,Blacktown_Pendant Av and Lancelot St,4128,48
bus,20200323,Blacktown Station_North,4105,Blacktown Showground,4118,209
bus,20200323,Blacktown Station_North,4105,Blacktown Station_North,4105,81
bus,20200323,Blacktown Station_North,4105,Blacktown_St Patricks Primary School,4119,38
bus,20200323,Blacktown Station_North,4105,Dean Park Shopping Centre,4008,114
bus,20200323,Blacktown Station_North,4105,Doonside High School,4132,97
bus,20200323,Blacktown Station_North,4105,Doonside Station_South,4136,39
bus,20200323,Blacktown Station_North,4105,Evans High School,4124,94
bus,20200323,Blacktown Station_North,4105,Glendenning,4010,70
bus,20200323,Blacktown Station_North,4105,Glendenning Public School,4009,37
bus,20200323,Blacktown Station_North,4105,Glenwood_Glenwood Park Dr and Malvern Rd,3901,129
bus,20200323,Blacktown Station_North,4105,Hanson Wallgrove Quarry,4045,57
bus,20200323,Blacktown Station_North,4105,Huntingwood Industrial Area,4044,82
bus,20200323,Blacktown Station_North,4105,John Paul Ii Senior High School,4116,100
bus,20200323,Blacktown Station_North,4105,Kings Langley Shopping Centre,4140,63
bus,20200323,Blacktown Station_North,4105,Lake Woodcroft,4133,173
bus,20200323,Blacktown Station_North,4105,Lalor Park_Wheeler St and Northcott Rd,4143,118
bus,20200323,Blacktown Station_North,4105,Macquarie Centre,1539,41
bus,20200323,Blacktown Station_North,4105,Marayong Station_West,4115,76
bus,20200323,Blacktown Station_North,4105,Marsden Park_Al-Masjid Bait-Ul Huda Mosque,3968,37
bus,20200323,Blacktown Station_North,4105,Mitchell High School,4125,51
bus,20200323,Blacktown Station_North,4105,Nagle Girls High School,4129,83
bus,20200323,Blacktown Station_North,4105,Oakhurst,4017,37
bus,20200323,Blacktown Station_North,4105,Oakhurst_Hanna Reserve,4016,36
bus,20200323,Blacktown Station_North,4105,Parklea Markets,3900,48
bus,20200323,Blacktown Station_North,4105,Pemulwuy Industrial Area,1238,79
bus,20200323,Blacktown Station_North,4105,Quakers Hill Shopping Complex,4113,61
bus,20200323,Blacktown Station_North,4105,Rouse Hill Town Centre,4444,52
bus,20200323,Blacktown Station_North,4105,Seven Hills_Columbia Rd and Vesuvius St,4158,74
bus,20200323,Blacktown Station_North,4105,Stanhope Gardens,3915,65
bus,20200323,Blacktown Station_North,4105,Stonecutters Ridge Golf Course,3970,63
bus,20200323,Blacktown Station_North,4105,Tallagandra Dr and Narcissus Ave,4114,38
bus,20200323,Blacktown Station_North,4105,Wetherill Park Industrial Area_Central,3503,42
bus,20200323,Blacktown_Walters Rd and Newton Rd,4122,Blacktown Station_North,4105,52
