mode,date,tap,time,count
bus,20200825,off,02:45,88
bus,20200825,off,03:00,89
bus,20200825,off,03:15,92
bus,20200825,off,03:30,94
bus,20200825,off,03:45,145
bus,20200825,off,04:00,97
bus,20200825,off,04:15,176
bus,20200825,off,04:30,177
bus,20200825,off,04:45,360
bus,20200825,off,05:00,725
bus,20200825,off,05:15,1155
bus,20200825,off,05:30,1734
bus,20200825,off,05:45,2525
bus,20200825,off,06:00,2955
bus,20200825,off,06:15,4373
bus,20200825,off,06:30,5224
bus,20200825,off,06:45,6366
bus,20200825,off,07:00,5891
bus,20200825,off,07:15,7559
bus,20200825,off,07:30,9767
bus,20200825,off,07:45,12461
bus,20200825,off,08:00,14235
bus,20200825,off,08:15,15067
bus,20200825,off,08:30,15177
bus,20200825,off,08:45,12910
bus,20200825,off,09:00,8863
bus,20200825,off,09:15,7716
bus,20200825,off,09:30,7101
bus,20200825,off,09:45,6663
bus,20200825,off,10:00,5510
bus,20200825,off,10:15,5924
bus,20200825,off,10:30,6034
bus,20200825,off,10:45,6004
bus,20200825,off,11:00,5488
bus,20200825,off,11:15,5754
bus,20200825,off,11:30,5849
bus,20200825,off,11:45,5850
bus,20200825,off,12:00,5496
bus,20200825,off,12:15,5996
bus,20200825,off,12:30,6095
bus,20200825,off,12:45,6059
bus,20200825,off,13:00,5771
bus,20200825,off,13:15,6390
bus,20200825,off,13:30,6370
bus,20200825,off,13:45,6586
bus,20200825,off,14:00,6358
bus,20200825,off,14:15,7156
bus,20200825,off,14:30,7893
bus,20200825,off,14:45,9269
bus,20200825,off,15:00,10251
bus,20200825,off,15:15,12756
bus,20200825,off,15:30,13275
bus,20200825,off,15:45,13214
bus,20200825,off,16:00,12173
bus,20200825,off,16:15,11015
bus,20200825,off,16:30,10047
bus,20200825,off,16:45,9639
bus,20200825,off,17:00,9274
bus,20200825,off,17:15,9771
bus,20200825,off,17:30,9714
bus,20200825,off,17:45,9794
bus,20200825,off,18:00,9090
bus,20200825,off,18:15,8722
bus,20200825,off,18:30,7243
bus,20200825,off,18:45,5898
bus,20200825,off,19:00,4538
bus,20200825,off,19:15,3923
bus,20200825,off,19:30,3303
bus,20200825,off,19:45,2667
bus,20200825,off,20:00,2374
bus,20200825,off,20:15,2249
bus,20200825,off,20:30,2057
bus,20200825,off,20:45,1807
bus,20200825,off,21:00,1721
bus,20200825,off,21:15,1672
bus,20200825,off,21:30,1573
bus,20200825,off,21:45,1479
bus,20200825,off,22:00,1374
bus,20200825,off,22:15,1295
bus,20200825,off,22:30,1162
bus,20200825,off,22:45,901
bus,20200825,off,23:00,755
bus,20200825,off,23:15,657
bus,20200825,off,23:30,449
bus,20200825,off,23:45,364
bus,20200825,on,00:00,257
bus,20200825,on,00:15,149
bus,20200825,on,00:30,158
bus,20200825,on,00:45,142
bus,20200825,on,01:00,125
bus,20200825,on,01:15,73
bus,20200825,on,01:30,141
bus,20200825,on,01:45,76
bus,20200825,on,02:00,139
bus,20200825,on,02:15,89
bus,20200825,on,02:30,134
bus,20200825,on,02:45,94
bus,20200825,on,03:00,94
bus,20200825,on,03:15,96
bus,20200825,on,03:30,142
bus,20200825,on,03:45,120
bus,20200825,on,04:00,169
bus,20200825,on,04:15,142
bus,20200825,on,04:30,374
bus,20200825,on,04:45,619
bus,20200825,on,05:00,1035
bus,20200825,on,05:15,1812
bus,20200825,on,05:30,2492
bus,20200825,on,05:45,3311
bus,20200825,on,06:00,4457
