mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
train,20200825,Parramatta Station_North,1055,Leppington_Bringelly Rd and Eastwood Rd,3655,123
train,20200825,Parramatta Station_North,1055,Leumeah,3271,54
train,20200825,Parramatta Station_North,1055,Lewisham Station_South,939,45
train,20200825,Parramatta Station_North,1055,Lidcombe_Joseph St and James St,1341,551
train,20200825,Parramatta Station_North,1055,Liverpool Station_East,3848,259
train,20200825,Parramatta Station_North,1055,Marayong Station_West,4115,69
train,20200825,Parramatta Station_North,1055,Marrickville Station_South,310,36
train,20200825,Parramatta Station_North,1055,Martin Place Station,77,63
train,20200825,Parramatta Station_North,1055,Mascot Station,411,136
train,20200825,Parramatta Station_North,1055,Merrylands Station_West,1277,241
train,20200825,Parramatta Station_North,1055,Minto Industrial Area_Northern End_Minto Station,3289,51
train,20200825,Parramatta Station_North,1055,Mount Druitt Station_South,4040,545
train,20200825,Parramatta Station_North,1055,Newtown Station_South,249,108
train,20200825,Parramatta Station_North,1055,North Sydney Station,1957,252
train,20200825,Parramatta Station_North,1055,Parramatta_High St and Raymond St,1065,205
train,20200825,Parramatta Station_North,1055,Parramatta Station_North,1055,441
train,20200825,Parramatta Station_North,1055,Pendle Hill Station_North,1082,299
train,20200825,Parramatta Station_North,1055,Penrith Station Car Park,4977,550
train,20200825,Parramatta Station_North,1055,Petersham Station_South,321,50
train,20200825,Parramatta Station_North,1055,Punchbowl Station,2543,49
train,20200825,Parramatta Station_North,1055,Quakers Hill Station,3926,227
train,20200825,Parramatta Station_North,1055,Redfern Station,215,468
train,20200825,Parramatta Station_North,1055,Regents Park Station,1347,47
train,20200825,Parramatta Station_North,1055,Rhodes Station_West,668,112
train,20200825,Parramatta Station_North,1055,Richmond Station,4703,41
train,20200825,Parramatta Station_North,1055,Riverstone Station_East,3940,57
train,20200825,Parramatta Station_North,1055,Rockdale Station,2766,94
train,20200825,Parramatta Station_North,1055,Rooty Hill Station_South,4052,249
train,20200825,Parramatta Station_North,1055,Schofields_New Station,3963,221
train,20200825,Parramatta Station_North,1055,Seven Hills,4155,403
train,20200825,Parramatta Station_North,1055,Springwood Station_South,4644,51
train,20200825,Parramatta Station_North,1055,Stanmore Station_South,320,44
train,20200825,Parramatta Station_North,1055,St James Station,107,61
train,20200825,Parramatta Station_North,1055,St Leonards,1844,100
train,20200825,Parramatta Station_North,1055,St Marys Station_South_East,5011,311
train,20200825,Parramatta Station_North,1055,Strathfield Station_North,969,698
train,20200825,Parramatta Station_North,1055,Summer Hill Station_South,953,59
train,20200825,Parramatta Station_North,1055,Sydenham Station_East,331,44
train,20200825,Parramatta Station_North,1055,Sydney CBD_Circular Quay Station-Wharves,26,108
train,20200825,Parramatta Station_North,1055,Sydney CBD_Sydney Town Hall,103,1014
train,20200825,Parramatta Station_North,1055,Sydney CBD_Wynyard Station_George St,57,659
train,20200825,Parramatta Station_North,1055,Telopea Station,1131,38
train,20200825,Parramatta Station_North,1055,Toongabbie Station_East,1076,309
train,20200825,Parramatta Station_North,1055,Warwick Farm Station_West,3837,117
train,20200825,Parramatta Station_North,1055,Wentworthville Station_South,1006,328
train,20200825,Parramatta Station_North,1055,Werrington Station_South_Uni of Western Sydney,4953,65
train,20200825,Parramatta Station_North,1055,Westfield Hornsby_Hornsby Station_East,1627,71
train,20200825,Parramatta Station_North,1055,Westfield_Hurstville,2606,131
train,20200825,Parramatta Station_North,1055,Westmead Station_South,1007,345
train,20200825,Parramatta Station_North,1055,Windsor Station,4710,58
train,20200825,Parramatta Station_North,1055,Wolli Creek Station,2702,56
train,20200825,Parramatta Station_North,1055,Woy Woy Station,5397,36
train,20200825,Parramatta Station_North,1055,Yennora Station_South,1210,58
train,20200825,Pendle Hill Station_North,1082,,,49
train,20200825,Pendle Hill Station_North,1082,Auburn Station_South,1309,56
train,20200825,Pendle Hill Station_North,1082,Blacktown Station_North,4105,145
train,20200825,Pendle Hill Station_North,1082,Central Station,146,108
train,20200825,Pendle Hill Station_North,1082,Parramatta Station_North,1055,298
train,20200825,Pendle Hill Station_North,1082,Seven Hills,4155,46
train,20200825,Pendle Hill Station_North,1082,Strathfield Station_North,969,58
train,20200825,Pendle Hill Station_North,1082,Sydney CBD_Sydney Town Hall,103,93
train,20200825,Pendle Hill Station_North,1082,Sydney CBD_Wynyard Station_George St,57,85
train,20200825,Pendle Hill Station_North,1082,Wentworthville Station_South,1006,48
train,20200825,Pendle Hill Station_North,1082,Westmead Station_South,1007,55
train,20200825,Pennant Hills Station_East,1417,Central Station,146,90
train,20200825,Pennant Hills Station_East,1417,Chatswood Station_West,1806,38
train,20200825,Pennant Hills Station_East,1417,Eastwood Station,1506,43
train,20200825,Pennant Hills Station_East,1417,Epping Station_East,1406,65
train,20200825,Pennant Hills Station_East,1417,Macquarie Centre,1539,39
train,20200825,Pennant Hills Station_East,1417,Strathfield Station_North,969,41
train,20200825,Pennant Hills Station_East,1417,Sydney CBD_Sydney Town Hall,103,44
train,20200825,Pennant Hills Station_East,1417,Westfield Hornsby_Hornsby Station_East,1627,174
train,20200825,Penrith Station Car Park,4977,,,251
train,20200825,Penrith Station Car Park,4977,Auburn Station_South,1309,56
train,20200825,Penrith Station Car Park,4977,Blacktown Station_North,4105,430
train,20200825,Penrith Station Car Park,4977,Blaxland Station_North,4608,48
train,20200825,Penrith Station Car Park,4977,Central Station,146,354
train,20200825,Penrith Station Car Park,4977,Doonside Station_North,4134,59
train,20200825,Penrith Station Car Park,4977,Emu Plains Station_South,4924,44
train,20200825,Penrith Station Car Park,4977,Katoomba Station_North,4624,46
train,20200825,Penrith Station Car Park,4977,Kingswood Station_South,4951,124
train,20200825,Penrith Station Car Park,4977,Lidcombe_Joseph St and James St,1341,40
train,20200825,Penrith Station Car Park,4977,Martin Place Station,77,40
train,20200825,Penrith Station Car Park,4977,Mount Druitt Station_South,4040,238
train,20200825,Penrith Station Car Park,4977,North Sydney Station,1957,48
train,20200825,Penrith Station Car Park,4977,Parramatta Station_North,1055,522
train,20200825,Penrith Station Car Park,4977,Penrith Station Car Park,4977,58
train,20200825,Penrith Station Car Park,4977,Redfern Station,215,56
train,20200825,Penrith Station Car Park,4977,Rooty Hill Station_South,4052,51
train,20200825,Penrith Station Car Park,4977,Seven Hills,4155,106
train,20200825,Penrith Station Car Park,4977,Springwood Station_South,4644,63
