mode,date,tap,time,count
bus,20201116,on,20:15,2413
bus,20201116,on,20:30,2098
bus,20201116,on,20:45,1899
bus,20201116,on,21:00,1861
bus,20201116,on,21:15,1799
bus,20201116,on,21:30,1523
bus,20201116,on,21:45,1415
bus,20201116,on,22:00,1446
bus,20201116,on,22:15,1161
bus,20201116,on,22:30,1058
bus,20201116,on,22:45,791
bus,20201116,on,23:00,721
bus,20201116,on,23:15,512
bus,20201116,on,23:30,375
bus,20201116,on,23:45,351
bus,20201117,off,00:00,318
bus,20201117,off,00:15,235
bus,20201117,off,00:30,184
bus,20201117,off,00:45,159
bus,20201117,off,01:00,123
bus,20201117,off,01:15,145
bus,20201117,off,01:30,86
bus,20201117,off,01:45,153
bus,20201117,off,02:00,103
bus,20201117,off,02:15,107
bus,20201117,off,02:30,129
bus,20201117,off,02:45,107
bus,20201117,off,03:00,89
bus,20201117,off,03:15,92
bus,20201117,off,03:30,100
bus,20201117,off,03:45,145
bus,20201117,off,04:00,147
bus,20201117,off,04:15,199
bus,20201117,off,04:30,207
bus,20201117,off,04:45,414
bus,20201117,off,05:00,798
bus,20201117,off,05:15,1273
bus,20201117,off,05:30,1893
bus,20201117,off,05:45,2824
bus,20201117,off,06:00,3432
bus,20201117,off,06:15,5044
bus,20201117,off,06:30,6051
bus,20201117,off,06:45,7474
bus,20201117,off,07:00,6986
bus,20201117,off,07:15,9001
bus,20201117,off,07:30,11921
bus,20201117,off,07:45,14185
bus,20201117,off,08:00,15873
bus,20201117,off,08:15,17551
bus,20201117,off,08:30,18066
bus,20201117,off,08:45,15375
bus,20201117,off,09:00,11263
bus,20201117,off,09:15,9686
bus,20201117,off,09:30,8649
bus,20201117,off,09:45,8098
bus,20201117,off,10:00,6911
bus,20201117,off,10:15,6945
bus,20201117,off,10:30,6802
bus,20201117,off,10:45,7035
bus,20201117,off,11:00,6225
bus,20201117,off,11:15,6589
bus,20201117,off,11:30,6507
bus,20201117,off,11:45,6838
bus,20201117,off,12:00,6136
bus,20201117,off,12:15,6618
bus,20201117,off,12:30,6533
bus,20201117,off,12:45,6561
bus,20201117,off,13:00,6663
bus,20201117,off,13:15,6968
bus,20201117,off,13:30,7073
bus,20201117,off,13:45,7132
bus,20201117,off,14:00,7028
bus,20201117,off,14:15,7876
bus,20201117,off,14:30,8766
bus,20201117,off,14:45,9639
bus,20201117,off,15:00,10586
bus,20201117,off,15:15,12728
bus,20201117,off,15:30,13958
bus,20201117,off,15:45,14334
bus,20201117,off,16:00,12960
bus,20201117,off,16:15,11841
bus,20201117,off,16:30,11429
bus,20201117,off,16:45,11120
bus,20201117,off,17:00,10595
bus,20201117,off,17:15,11528
bus,20201117,off,17:30,11953
bus,20201117,off,17:45,12251
bus,20201117,off,18:00,11324
bus,20201117,off,18:15,10516
bus,20201117,off,18:30,9464
bus,20201117,off,18:45,7440
bus,20201117,off,19:00,5869
bus,20201117,off,19:15,4943
bus,20201117,off,19:30,4058
bus,20201117,off,19:45,3518
bus,20201117,off,20:00,3099
bus,20201117,off,20:15,2778
bus,20201117,off,20:30,2661
bus,20201117,off,20:45,2266
bus,20201117,off,21:00,2043
bus,20201117,off,21:15,2159
bus,20201117,off,21:30,2064
bus,20201117,off,21:45,1809
bus,20201117,off,22:00,1640
bus,20201117,off,22:15,1587
bus,20201117,off,22:30,1269
bus,20201117,off,22:45,1089
bus,20201117,off,23:00,882
bus,20201117,off,23:15,703
bus,20201117,off,23:30,594
bus,20201117,off,23:45,438
bus,20201117,on,00:00,269
bus,20201117,on,00:15,201
bus,20201117,on,00:30,204
bus,20201117,on,00:45,148
bus,20201117,on,01:00,123
bus,20201117,on,01:15,126
bus,20201117,on,01:30,139
bus,20201117,on,01:45,84
bus,20201117,on,02:00,131
bus,20201117,on,02:15,97
bus,20201117,on,02:30,149
bus,20201117,on,02:45,96
bus,20201117,on,03:00,118
bus,20201117,on,03:15,62
bus,20201117,on,03:30,150
bus,20201117,on,03:45,137
bus,20201117,on,04:00,200
bus,20201117,on,04:15,179
bus,20201117,on,04:30,399
bus,20201117,on,04:45,750
bus,20201117,on,05:00,1183
bus,20201117,on,05:15,1928
bus,20201117,on,05:30,2899
bus,20201117,on,05:45,3785
bus,20201117,on,06:00,5141
bus,20201117,on,06:15,6544
bus,20201117,on,06:30,7270
bus,20201117,on,06:45,7972
bus,20201117,on,07:00,10577
bus,20201117,on,07:15,13884
bus,20201117,on,07:30,17251
bus,20201117,on,07:45,19142
bus,20201117,on,08:00,19754
bus,20201117,on,08:15,18766
bus,20201117,on,08:30,15366
bus,20201117,on,08:45,11359
bus,20201117,on,09:00,9622
bus,20201117,on,09:15,8736
bus,20201117,on,09:30,7912
bus,20201117,on,09:45,7071
bus,20201117,on,10:00,7462
bus,20201117,on,10:15,7105
bus,20201117,on,10:30,7069
bus,20201117,on,10:45,6609
bus,20201117,on,11:00,6874
bus,20201117,on,11:15,6802
bus,20201117,on,11:30,6931
bus,20201117,on,11:45,6485
bus,20201117,on,12:00,6823
bus,20201117,on,12:15,7090
bus,20201117,on,12:30,6838
bus,20201117,on,12:45,6871
bus,20201117,on,13:00,7465
bus,20201117,on,13:15,7465
bus,20201117,on,13:30,7640
bus,20201117,on,13:45,7342
bus,20201117,on,14:00,8649
bus,20201117,on,14:15,9242
bus,20201117,on,14:30,11204
bus,20201117,on,14:45,11906
bus,20201117,on,15:00,16809
bus,20201117,on,15:15,18003
bus,20201117,on,15:30,17488
bus,20201117,on,15:45,13277
bus,20201117,on,16:00,13070
bus,20201117,on,16:15,12242
